ti;t;Vi;V
0.04;0;0.00E+00;0.00E+00
0.0401;1E-04;-4.00E-02;-1.09E-02
0.0402;0.0002;0.00E+00;0.00E+00
0.0403;0.0003;-4.00E-02;-1.09E-02
0.0404;0.0004;0.00E+00;0.00E+00
0.0405;0.0005;0.00E+00;0.00E+00
0.0406;0.0006;-4.00E-02;-1.09E-02
0.0407;0.0007;0.00E+00;0.00E+00
0.0408;0.0008;0.00E+00;0.00E+00
0.0409;0.0009;0.00E+00;0.00E+00
0.041;0.001;0.00E+00;0.00E+00
0.0411;0.0011;0.00E+00;0.00E+00
0.0412;0.0012;0.00E+00;0.00E+00
0.0413;0.0013;0.00E+00;0.00E+00
0.0414;0.0014;0.00E+00;0.00E+00
0.0415;0.0015;0.00E+00;0.00E+00
0.0416;0.0016;0.00E+00;0.00E+00
0.0417;0.0017;0.00E+00;0.00E+00
0.0418;0.0018;-4.00E-02;-1.09E-02
0.0419;0.0019;0.00E+00;0.00E+00
0.042;0.002;-4.00E-02;-1.09E-02
0.0421;0.0021;0.00E+00;0.00E+00
0.0422;0.0022;0.00E+00;0.00E+00
0.0423;0.0023;-4.00E-02;-1.09E-02
0.0424;0.0024;0.00E+00;0.00E+00
0.0425;0.0025;0.00E+00;0.00E+00
0.0426;0.0026;0.00E+00;0.00E+00
0.0427;0.0027;0.00E+00;0.00E+00
0.0428;0.0028;4.00E-02;1.09E-02
0.0429;0.0029;0.00E+00;0.00E+00
0.043;0.003;4.00E-02;1.09E-02
0.0431;0.0031;4.00E-02;1.09E-02
0.0432;0.0032;4.00E-02;1.09E-02
0.0433;0.0033;4.00E-02;1.09E-02
0.0434;0.0034;4.00E-02;1.09E-02
0.0435;0.0035;8.00E-02;2.17E-02
0.0436;0.0036;4.00E-02;1.09E-02
0.0437;0.0037;8.00E-02;2.17E-02
0.0438;0.0038;8.00E-02;2.17E-02
0.0439;0.0039;8.00E-02;2.17E-02
0.044;0.004;8.00E-02;2.17E-02
0.0441;0.0041;1.20E-01;3.26E-02
0.0442;0.0042;1.20E-01;3.26E-02
0.0443;0.0043;1.60E-01;4.35E-02
0.0444;0.0044;1.60E-01;4.35E-02
0.0445;0.0045;1.60E-01;4.35E-02
0.0446;0.0046;1.60E-01;4.35E-02
0.0447;0.0047;1.60E-01;4.35E-02
0.0448;0.0048;2.00E-01;5.43E-02
0.0449;0.0049;2.00E-01;5.43E-02
0.045;0.005;2.40E-01;6.52E-02
0.0451;0.0051;2.40E-01;6.52E-02
0.0452;0.0052;2.40E-01;6.52E-02
0.0453;0.0053;2.80E-01;7.61E-02
0.0454;0.0054;2.80E-01;7.61E-02
0.0455;0.0055;2.80E-01;7.61E-02
0.0456;0.0056;2.80E-01;7.61E-02
0.0457;0.0057;3.20E-01;8.70E-02
0.0458;0.0058;3.20E-01;8.70E-02
0.0459;0.0059;3.20E-01;8.70E-02
0.046;0.006;3.60E-01;9.78E-02
0.0461;0.0061;3.60E-01;9.78E-02
0.0462;0.0062;3.60E-01;9.78E-02
0.0463;0.0063;4.00E-01;1.09E-01
0.0464;0.0064;4.00E-01;1.09E-01
0.0465;0.0065;4.00E-01;1.09E-01
0.0466;0.0066;4.40E-01;1.20E-01
0.0467;0.0067;4.40E-01;1.20E-01
0.0468;0.0068;4.80E-01;1.30E-01
0.0469;0.0069;4.80E-01;1.30E-01
0.047;0.007;5.20E-01;1.41E-01
0.0471;0.0071;5.20E-01;1.41E-01
0.0472;0.0072;5.60E-01;1.52E-01
0.0473;0.0073;5.20E-01;1.41E-01
0.0474;0.0074;5.60E-01;1.52E-01
0.0475;0.0075;5.60E-01;1.52E-01
0.0476;0.0076;6.00E-01;1.63E-01
0.0477;0.0077;6.00E-01;1.63E-01
0.0478;0.0078;6.40E-01;1.74E-01
0.0479;0.0079;6.40E-01;1.74E-01
0.048;0.008;6.40E-01;1.74E-01
0.0481;0.0081;6.80E-01;1.85E-01
0.0482;0.0082;6.80E-01;1.85E-01
0.0483;0.0083;7.20E-01;1.96E-01
0.0484;0.0084;7.20E-01;1.96E-01
0.0485;0.0085;7.60E-01;2.07E-01
0.0486;0.0086;7.60E-01;2.07E-01
0.0487;0.0087;8.00E-01;2.17E-01
0.0488;0.0088;8.00E-01;2.17E-01
0.0489;0.0089;8.40E-01;2.28E-01
0.049;0.009;8.40E-01;2.28E-01
0.0491;0.0091;8.40E-01;2.28E-01
0.0492;0.0092;8.80E-01;2.39E-01
0.0493;0.0093;8.80E-01;2.39E-01
0.0494;0.0094;8.80E-01;2.39E-01
0.0495;0.0095;9.60E-01;2.61E-01
0.0496;0.0096;9.60E-01;2.61E-01
0.0497;0.0097;9.60E-01;2.61E-01
0.0498;0.0098;9.60E-01;2.61E-01
0.0499;0.0099;1.00E+00;2.72E-01
0.05;0.01;1.04E+00;2.83E-01
0.0501;0.0101;1.04E+00;2.83E-01
0.0502;0.0102;1.08E+00;2.93E-01
0.0503;0.0103;1.08E+00;2.93E-01
0.0504;0.0104;1.08E+00;2.93E-01
0.0505;0.0105;1.12E+00;3.04E-01
0.0506;0.0106;1.16E+00;3.15E-01
0.0507;0.0107;1.16E+00;3.15E-01
0.0508;0.0108;1.16E+00;3.15E-01
0.0509;0.0109;1.20E+00;3.26E-01
0.051;0.011;1.24E+00;3.37E-01
0.0511;0.0111;1.24E+00;3.37E-01
0.0512;0.0112;1.28E+00;3.48E-01
0.0513;0.0113;1.28E+00;3.48E-01
0.0514;0.0114;1.28E+00;3.48E-01
0.0515;0.0115;1.32E+00;3.59E-01
0.0516;0.0116;1.32E+00;3.59E-01
0.0517;0.0117;1.32E+00;3.59E-01
0.0518;0.0118;1.36E+00;3.70E-01
0.0519;0.0119;1.36E+00;3.70E-01
0.052;0.012;1.36E+00;3.70E-01
0.0521;0.0121;1.40E+00;3.80E-01
0.0522;0.0122;1.40E+00;3.80E-01
0.0523;0.0123;1.48E+00;4.02E-01
0.0524;0.0124;1.44E+00;3.91E-01
0.0525;0.0125;1.44E+00;3.91E-01
0.0526;0.0126;1.48E+00;4.02E-01
0.0527;0.0127;1.48E+00;4.02E-01
0.0528;0.0128;1.52E+00;4.13E-01
0.0529;0.0129;1.48E+00;4.02E-01
0.053;0.013;1.52E+00;4.13E-01
0.0531;0.0131;1.52E+00;4.13E-01
0.0532;0.0132;1.56E+00;4.24E-01
0.0533;0.0133;1.56E+00;4.24E-01
0.0534;0.0134;1.64E+00;4.46E-01
0.0535;0.0135;1.68E+00;4.57E-01
0.0536;0.0136;1.64E+00;4.46E-01
0.0537;0.0137;1.72E+00;4.67E-01
0.0538;0.0138;1.72E+00;4.67E-01
0.0539;0.0139;1.72E+00;4.67E-01
0.054;0.014;1.76E+00;4.78E-01
0.0541;0.0141;1.80E+00;4.89E-01
0.0542;0.0142;1.80E+00;4.89E-01
0.0543;0.0143;1.80E+00;4.89E-01
0.0544;0.0144;1.84E+00;5.00E-01
0.0545;0.0145;1.88E+00;5.11E-01
